Species Name,Distribution
Quercus gravesii,"USA: (SW Texas), MEXICO: (Coahuila)"
Quercus greggii,"MEXICO: (Coahuila, Nuevo León, Tamaulipas, Durango, San Luis Potosí, Nayarit, Querétaro, Hidalgo, Veracruz, Puebla, Oaxaca)"
Quercus grisea,"USA: (Arizona, New Mexico, W Texas), MEXICO: (Sonora, Chihuahua, Coahuila, Nuevo León, Durango, Zacatecas, San Luis Potosí, Jalisco, Aguascalientes, Guanajuato, Querétaro, Veracruz)"
Quercus hinckleyi,"USA: (Texas: Presidio County), MEXICO: (Sonora, N Chihuahua)"
Quercus hintonii,"MEXICO: (Michoacán, México State)"
Quercus hintoniorum,MEXICO: (Coahuila)
Quercus hirtifolia,"MEXICO: (Hidalgo, Puebla)"
Quercus hypoleucoides,"USA: (Arizona, SW New Mexico, W Texas), MEXICO: (Sonora, Chihuahua, Coahuila, Nuevo León, Durango)"
Quercus hypoxantha,"MEXICO: (Coahuila, Nuevo León, San Luis Potosí)"
Quercus ignaciensis,MEXICO: (Sonora)
Quercus iltisii,"MEXICO: (Jalisco, Colima)"
Quercus insignis,"MEXICO: (Jalisco, Veracruz, Oaxaca, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Petén, Sacatepéquez), HONDURAS, NICARAGUA, COSTA RICA, PANAMA:"
Quercus intricata,"USA: (W Texas), MEXICO: (Chihuahua, Coahuila, Nuevo León, Durango, Zacatecas)"
Quercus invaginata,"MEXICO: (Chihuahua, Coahuila, Nuevo León)"
Quercus juergensenii,MEXICO: (Puebla)
Quercus ×knoblochii (Q. coccolobifolia Trel. × Q. viminea Trel.),"MEXICO: (Chihuahua, Sonora)"
Quercus laceyi,"USA: (Texas), MEXICO: (Coahuila, Nuevo León)"
Quercus laeta,"MEXICO: (Coahuila, Nuevo León, Sinaloa, Durango, SW Zacatecas, San Luis Potosí, Nayarit, Jalisco, Aguascalientes, Guanajuato, Querétaro, Hidalgo, Michoacán, México State, México DF, Oaxaca)"
Quercus lancifolia,"MEXICO: (Veracruz, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Alta Verapaz, Chiquimula, Escuintla, Guatemala, Jalapa, Quetzaltenango, Retalhuleu, San Marcos, Sololá, Suchitepéquez), EL SALVADOR, HONDURAS, NICARAGUA, COSTA RICA, PANAMA"
Quercus laurina,"MEXICO: (Jalisco, Aguascalientes, Guanajuato, Querétaro, Hidalgo, Veracruz, Michoacán, México State, México DF, Morelos, Tlaxcala, Puebla, Guerrero, Oaxaca), CENTRAL AMERICA: GUATEMALA (Chimaltenango, Guatemala, Quetzaltenango, Sacatepéquez,"
Quercus ×lesueurii (Q. arizonica Sarg. × Q. gambelii Nutt.),Mexico: Chihuahua
Quercus liebmannii,"MEXICO: (Puebla, Guerrero, Oaxaca)"
Quercus lobata,MEXICO:
Quercus macdougallii,MEXICO: (Oaxaca)
Quercus magnoliifolia,"MEXICO: (Sinaloa, Nayarit, Jalisco, Querétaro, Hidalgo, Colima, Michoacán, México State, Morelos, Puebla, Guerrero, Oaxaca)"
Quercus manzanillana,MEXICO: (Puebla)
Quercus martinezii,"MEXICO: (Nayarit, Jalisco, Michoacán, México State, Guerrero, Oaxaca)"
Quercus mcvaughii,"MEXICO: (Sonora, Chihuahua, Durango)"
