"","geometry","elevation","elev_units"
"196",c(-109.22083, 30.59139),1819,"meters"
"197",c(-109.2225, 30.59917),1819,"meters"
"198",c(-107.6944444, 27.5977778),2176,"meters"
"199",c(-108.356747, 28.1808809999),2049,"meters"
"200",c(-109.8288889, 30.75361),1634,"meters"
"201",c(-109.8211111, 30.72694444),1624,"meters"
"202",c(-109.8226571, 30.730241),1634,"meters"
"203",c(-109.8194, 30.735),1634,"meters"
"204",c(-109.993633, 29.774208),1239,"meters"
"205",c(-109.295, 29.57306),1149,"meters"
"206",c(-109.8194444, 30.735),1634,"meters"
"207",c(-109.8136111, 30.72694),1599,"meters"
"208",c(-110.219444, 30.842222),1535,"meters"
"209",c(-109.560278, 30.283889),1477,"meters"
"210",c(-110.2136, 30.83605),1535,"meters"
"211",c(-110.22255, 30.82515),1535,"meters"
"212",c(-103.55, 20.55),1841,"meters"
"213",c(-108.7147222, 29.87111111),1753,"meters"
"214",c(-108.7897222, 29.78805556),2015,"meters"
"215",c(-108.72, 29.80916667),1810,"meters"
"216",c(-109.55984, 30.288377),1477,"meters"
"217",c(-108.70833, 29.79917),1909,"meters"
"218",c(-108.71889, 29.82583),1810,"meters"
"219",c(-110.22861, 30.83472),1535,"meters"
"220",c(-110.19667, 30.82639),1535,"meters"
"221",c(-109.95042, 31.03225),1708,"meters"
"222",c(-104.008564, 22.394644),1708,"meters"
"223",c(-104.24722, 22.20138),1889,"meters"
"224",c(-110.08696, 30.59843),1300,"meters"
"225",c(-103.855833, 21.8885),2031,"meters"
"226",c(-108.616667, 27.3),1696,"meters"
"227",c(-109.05, 28.35),1569,"meters"
"228",c(-110.39137, 29.83799),1364,"meters"
"229",c(-108.90142, 30.0982),1817,"meters"
"230",c(-108.89688, 30.09821),1817,"meters"
"231",c(-108.88995, 30.10394),1888,"meters"
"232",c(-108.87415, 30.12878),1888,"meters"
"233",c(-108.87935, 30.1291),1888,"meters"
"234",c(-108.88998, 30.13129),1888,"meters"
"235",c(-108.87054, 30.13545),1888,"meters"
"236",c(-110.38306, 29.83806),1364,"meters"
"237",c(-110.40212, 29.85485),1220,"meters"
"238",c(-105.8349832, 23.56592778),1843,"meters"
"239",c(-109.421875, 29.388333),1137,"meters"
"240",c(-109.8194, 30.735),1634,"meters"
"241",c(-110.39535, 29.87742),1220,"meters"
"242",c(-110.40223, 29.85434),1220,"meters"
"243",c(-103.883333, 21.910833),2255,"meters"
"244",c(-109.040555, 28.373055),1569,"meters"
"245",c(-99.299719, 23.742755),1384,"meters"
"246",c(-103.628888, 21.473888),2175,"meters"
"247",c(-110.21389, 29.1),942,"meters"
"248",c(-108.35611, 28.43583),1853,"meters"
"249",c(-108.28333, 28.1),1952,"meters"
"250",c(-110.38691, 29.86017),1220,"meters"
"251",c(-110.40406, 29.89027),1267,"meters"
"252",c(-110.53343, 30.1703),1254,"meters"
"253",c(-110.53304, 30.15359),1254,"meters"
"254",c(-109.02, 28.62167),1085,"meters"
"255",c(-108.5, 28.53333),1868,"meters"
"256",c(-108.61667, 28.40194),1632,"meters"
"257",c(-110.176389, 29.093889),1081,"meters"
"258",c(-110.49417, 30.11111),1426,"meters"
"259",c(-110.52333, 30.13806),1426,"meters"
"260",c(-110.525, 30.16028),1330,"meters"
"261",c(-105.8325, 23.526667),1666,"meters"
"262",c(-109.2286111, 29.93361111),1001,"meters"
"263",c(-108.801583, 28.383499),1366,"meters"
"264",c(-103.742214, 20.985428),1586,"meters"
"265",c(-109.515494, 28.901208),1115,"meters"
"266",c(-109.5142, 28.9011),1115,"meters"
"267",c(-110.0013889, 29.76555556),1239,"meters"
"268",c(-110.40212, 29.85485),1220,"meters"
