"","geometry","elevation","elev_units"
"28164",c(-99.56667, 25.41667),217,"meters"
"28165",c(-92.83417, 16.71722),1594,"meters"
"28166",c(-100.92306, 25.3575),2269,"meters"
"28167",c(-109.53639, 28.43639),221,"meters"
"28168",c(-102.46667, 28.88333),1527,"meters"
"28169",c(-101.11667, 25.125),2125,"meters"
"28170",c(-102.6, 21.88889),2209,"meters"
"28171",c(-107.79417, 28.37528),2136,"meters"
"28172",c(-92.12333, 16.81444),1237,"meters"
"28173",c(-102.41667, 27.09167),1539,"meters"
"28174",c(-98.5, 20.5),2069,"meters"
"28175",c(-92.09444, 16.97444),1121,"meters"
"28176",c(-110.58333, 30.5),1179,"meters"
"28177",c(-97.34, 18.71),2396,"meters"
"28178",c(-98.9, 24.71667),687,"meters"
"28179",c(-99.9, 24.55),1855,"meters"
"28180",c(-103.06639, 28.23694),2030,"meters"
"28181",c(-102.98333, 28.25),1337,"meters"
"28182",c(-110.21389, 29.1),942,"meters"
"28183",c(-103.45389, 21.18611),1739,"meters"
"28184",c(-101.11667, 19.68333),2016,"meters"
"28185",c(-105.8375, 23.43333),1181,"meters"
"28186",c(-101.26667, 26.31667),1496,"meters"
"28187",c(-102.43056, 27.00833),2090,"meters"
"28188",c(-103.06, 22.65),2157,"meters"
"28189",c(-100.97389, 25.35639),2125,"meters"
"28190",c(-101.27, 22.38333),2056,"meters"
"28191",c(-95.03333, 16.88333),222,"meters"
"28192",c(-103.06, 22.65),2157,"meters"
"28193",c(-100.11667, 24.23333),1646,"meters"
"28194",c(-101.56667, 25.15),2380,"meters"
"28195",c(-96.94, 19.61),1450,"meters"
"28196",c(-102.5, 27.15),1895,"meters"
"28197",c(-102.39167, 29.73333),711,"meters"
"28198",c(-104.83333, 29.86667),1510,"meters"
"28199",c(-102.63333, 29.01667),1992,"meters"
"28200",c(-102.58333, 29.05),2063,"meters"
"28201",c(-97, 18.65),1702,"meters"
"28202",c(-92.09444, 16.97444),1121,"meters"
"28203",c(-102.075, 28.46667),1277,"meters"
"28204",c(-109.91667, 31.225),1595,"meters"
"28205",c(-100.16667, 24.88333),2106,"meters"
"28206",c(-101, 25.38333),1652,"meters"
"28207",c(-94.91083, 18.26111),763,"meters"
"28208",c(-92.58389, 16.75028),2452,"meters"
"28209",c(-92.04, 16.06),1231,"meters"
"28210",c(-101.38333, 26.03333),1111,"meters"
"28211",c(-102.56667, 29.25833),1167,"meters"
"28212",c(-102.4, 27.05),2043,"meters"
"28213",c(-96.84861, 19.5),1153,"meters"
"28214",c(-101.21667, 23.38333),2218,"meters"
"28215",c(-103.05, 26.68333),1790,"meters"
"28216",c(-94.9, 18.33333),905,"meters"
"28217",c(-100.37583, 25.22611),2762,"meters"
"28218",c(-108.73333, 27.08333),914,"meters"
"28219",c(-100.62111, 25.28556),2273,"meters"
"28220",c(-98.96, 24.54167),571,"meters"
"28221",c(-103.12194, 21.6675),2168,"meters"
"28222",c(-105.85, 23.38333),968,"meters"
"28223",c(-107.79417, 28.37528),2136,"meters"
"28224",c(-93.99, 16.69),1146,"meters"
"28225",c(-100.55, 25.36667),2769,"meters"
"28226",c(-102.63333, 29.01667),1992,"meters"
"28227",c(-98.65, 20),2453,"meters"
"28228",c(-100.63333, 25.36667),2396,"meters"
"28229",c(-99.55778, 23.97778),2075,"meters"
"28230",c(-100.45, 22.63333),1858,"meters"
"28231",c(-102.61667, 29.05),1992,"meters"
"28232",c(-96.66972, 19.75278),849,"meters"
"28233",c(-92.58389, 16.75028),2452,"meters"
"28234",c(-97.33611, 18.7),2285,"meters"
"28235",c(-102.61667, 29.05),1992,"meters"
"28236",c(-107.06389, 28.37722),2299,"meters"
"28237",c(-96.84861, 19.5),1153,"meters"
"28238",c(-103.55472, 27.4325),1398,"meters"
"28239",c(-100.86667, 23.71667),2558,"meters"
"28240",c(-100.25, 25.16667),2006,"meters"
"28241",c(-97.11, 18.92),1679,"meters"
"28242",c(-102.38333, 27.03333),2009,"meters"
"28243",c(-105.84583, 23.48583),1667,"meters"
"28244",c(-99.96667, 24.03333),1915,"meters"
"28245",c(-97.00611, 19.57),2143,"meters"
"28246",c(-92.12333, 16.81444),1237,"meters"
"28247",c(-97.34, 18.71),2396,"meters"
"28248",c(-99.63333, 23.28333),1732,"meters"
"28249",c(-98.96, 24.54167),571,"meters"
"28250",c(-105.85, 25.06667),2650,"meters"
"28251",c(-99.96667, 23.83333),2050,"meters"
"28252",c(-101.897401, 26.703022),774,"meters"
"28253",c(-101.51806, 26.56194),1350,"meters"
"28254",c(-94.86667, 18.23333),516,"meters"
"28255",c(-95.75528, 17.75944),89,"meters"
"28256",c(-102.25, 28.66667),972,"meters"
"28257",c(-100.9, 27.03333),975,"meters"
"28258",c(-101.55, 25.95),1977,"meters"
"28259",c(-102.30111, 27),1772,"meters"
"28260",c(-96.85072, 18.15783),1437,"meters"
"28261",c(-101.42361, 25.23472),2278,"meters"
"28262",c(-101.15, 22.16667),2326,"meters"
"28263",c(-97.21111, 19.78889),1768,"meters"
"28264",c(-102.41111, 27.08333),1539,"meters"
"28265",c(-102.125, 29.025),1870,"meters"
"28266",c(-104.13333, 27.15),1712,"meters"
"28267",c(-92.12333, 16.81444),1237,"meters"
"28268",c(-102.61667, 29.1),1657,"meters"
"28269",c(-102.39444, 27.02583),2009,"meters"
"28270",c(-100.92306, 25.3575),2269,"meters"
"28271",c(-108.19361, 28.16444),2027,"meters"
"28272",c(-94.07, 16.68),1236,"meters"
"28273",c(-92.41, 16.47),1815,"meters"
"28274",c(-101, 25.38333),1652,"meters"
"28275",c(-100.90222, 25.34556),2269,"meters"
"28276",c(-103.27, 25.2),1743,"meters"
"28277",c(-98.03, 22),4,"meters"
"28278",c(-104.08333, 29.18333),1592,"meters"
"28279",c(-102.76667, 21.68556),2191,"meters"
"28280",c(-102.045, 28.27806),1522,"meters"
"28281",c(-99.8, 26.03333),649,"meters"
"28282",c(-102.41667, 27.12861),1257,"meters"
"28283",c(-105.14167, 28.8),1628,"meters"
"28284",c(-100.96111, 25.13306),2347,"meters"
"28285",c(-100.92306, 25.3575),2269,"meters"
"28286",c(-101.29722, 26.79306),1443,"meters"
"28287",c(-100.76667, 24.74167),2135,"meters"
"28288",c(-100.16667, 24.88333),2106,"meters"
"28289",c(-100.65, 25.33333),2202,"meters"
"28290",c(-100.16667, 24.88333),2106,"meters"
"28291",c(-103.63333, 28.65),1675,"meters"
"28292",c(-101.78333, 25.41667),1472,"meters"
"28293",c(-102.33333, 29),1235,"meters"
"28294",c(-99.11667, 24.66667),646,"meters"
"28295",c(-110.4875, 30.96722),1345,"meters"
"28296",c(-100.46667, 25.33333),2461,"meters"
"28297",c(-93.09111, 16.79306),1030,"meters"
"28298",c(-105.85, 25.06667),2650,"meters"
"28299",c(-99.56667, 25.41667),217,"meters"
"28300",c(-92.09444, 16.97444),1121,"meters"
"28301",c(-105.15, 28.8),1628,"meters"
"28302",c(-98.48333, 20.5),2069,"meters"
"28303",c(-97.33, 18.72),2396,"meters"
"28304",c(-103.5, 21.37194),1965,"meters"
"28305",c(-102.71667, 29.175),1817,"meters"
"28306",c(-93.09111, 16.79306),1030,"meters"
"28307",c(-102.81667, 26.23333),1096,"meters"
"28308",c(-107.95, 29.14583),2289,"meters"
"28309",c(-108.98333, 26.98333),878,"meters"
"28310",c(-104.7, 23.93333),2003,"meters"
"28311",c(-97.03, 19.6),2126,"meters"
"28312",c(-102.75, 29.19167),1730,"meters"
"28313",c(-101, 25.38333),1652,"meters"
"28314",c(-97.16667, 19.66667),2094,"meters"
"28315",c(-101.53333, 25.96667),1914,"meters"
"28316",c(-97.03, 19.6),2126,"meters"
"28317",c(-102.41667, 27.12861),1257,"meters"
"28318",c(-97.76667, 21.9),25,"meters"
"28319",c(-97.26667, 18.86667),2394,"meters"
"28320",c(-97.9, 17.31667),2442,"meters"
"28321",c(-103.225, 25.10833),1980,"meters"
"28322",c(-100.63333, 25.36667),2396,"meters"
"28323",c(-102.58333, 28.98333),2270,"meters"
"28324",c(-95.72028, 17.69222),136,"meters"
"28325",c(-100.83, 28.42),350,"meters"
"28326",c(-105.84583, 23.48583),1667,"meters"
"28327",c(-98.5, 20.41667),2388,"meters"
"28328",c(-102.62556, 27.13028),2094,"meters"
"28329",c(-99.71222, 23.96667),2392,"meters"
"28330",c(-101.91667, 19.8),2443,"meters"
"28331",c(-102.76667, 21.68556),2191,"meters"
"28332",c(-92.94, 16.9),1414,"meters"
"28333",c(-94.725, 18.30556),283,"meters"
"28334",c(-102.51667, 28.73333),1572,"meters"
"28335",c(-113.60361, 28.73778),955,"meters"
"28336",c(-92.66667, 17.5),106,"meters"
"28337",c(-92.75, 16.72833),2211,"meters"
"28338",c(-100.61667, 25.38333),2396,"meters"
"28339",c(-102.6, 21.88889),2209,"meters"
"28340",c(-94.12, 16.51),1173,"meters"
"28341",c(-97.35, 18.68333),2285,"meters"
"28342",c(-102.26667, 25.43333),1887,"meters"
"28343",c(-102.33333, 29),1235,"meters"
"28344",c(-103.03333, 28.225),2030,"meters"
"28345",c(-100.15, 20.18333),2595,"meters"
"28346",c(-97.04, 19.12),1759,"meters"
"28347",c(-109.965, 23.5475),1536,"meters"
"28348",c(-101, 25.38333),1652,"meters"
"28349",c(-100.175, 24.89167),2106,"meters"
"28350",c(-98.48333, 20.5),2069,"meters"
"28351",c(-104.66667, 22.25),1708,"meters"
"28352",c(-94.9, 18.33333),905,"meters"
"28353",c(-102.40694, 27.10972),1539,"meters"
"28354",c(-105.15, 28.8),1628,"meters"
"28355",c(-101.35722, 26.295),1305,"meters"
"28356",c(-97.24, 18.81),1830,"meters"
"28357",c(-102.395, 27.025),2009,"meters"
"28358",c(-92.53333, 16.86667),1831,"meters"
"28359",c(-118.3, 29.13333),625,"meters"
"28360",c(-101.51806, 26.56194),1350,"meters"
"28361",c(-103.96667, 25.53333),1828,"meters"
"28362",c(-96.85072, 18.13281),1639,"meters"
"28363",c(-101.075, 24.575),2623,"meters"
"28364",c(-100.5, 25.43333),2541,"meters"
"28365",c(-94.86667, 18.23333),516,"meters"
"28366",c(-106.3, 29.28333),1509,"meters"
"28367",c(-102.55, 28.9),1976,"meters"
"28368",c(-97.03, 19.6),2126,"meters"
"28369",c(-102.73333, 29.21667),1563,"meters"
"28370",c(-104.36667, 23.45),1744,"meters"
"28371",c(-109.88, 23.64),883,"meters"
"28372",c(-101.53333, 25.96667),1914,"meters"
"28373",c(-96.85672, 18.06631),1351,"meters"
"28374",c(-99.13333, 20.18917),2066,"meters"
"28375",c(-109.965, 23.5475),1536,"meters"
"28376",c(-91.89139, 16.34833),1526,"meters"
"28377",c(-102.16667, 28.58333),1153,"meters"
"28378",c(-102.81, 25.3),1133,"meters"
"28379",c(-100.08333, 18.95),1696,"meters"
"28380",c(-100.58333, 25.26667),2263,"meters"
"28381",c(-96.16667, 19.66667),-108,"meters"
"28382",c(-100.5, 25.43333),2541,"meters"
"28383",c(-108.71667, 28.16667),1674,"meters"
"28384",c(-107.38333, 27.88333),2575,"meters"
"28385",c(-102.075, 26.78333),1396,"meters"
"28386",c(-104.19583, 19.63333),1305,"meters"
"28387",c(-100.42806, 22.65222),1957,"meters"
"28388",c(-92.8275, 16.72),1594,"meters"
"28389",c(-102.045, 28.27806),1522,"meters"
"28390",c(-92.12333, 16.81444),1237,"meters"
"28391",c(-100.25, 25.16667),2006,"meters"
"28392",c(-102.56667, 28.93333),2216,"meters"
"28393",c(-107.07917, 28.37583),2299,"meters"
"28394",c(-96.97, 18.97),1260,"meters"
"28395",c(-102.61944, 26.7875),1460,"meters"
"28396",c(-102.06667, 28.46667),1277,"meters"
"28397",c(-105.53333, 25.08333),1999,"meters"
"28398",c(-102.76667, 29.06667),1355,"meters"
"28399",c(-109.16667, 28.5),907,"meters"
"28400",c(-92.8, 16.57),641,"meters"
"28401",c(-103.7, 19.45),1243,"meters"
"28402",c(-102.58333, 28.98333),2270,"meters"
"28403",c(-101.28333, 26.82083),1443,"meters"
"28404",c(-103.625, 28.65),1675,"meters"
"28405",c(-98.44889, 20.405),2510,"meters"
"28406",c(-103.2, 25.18583),1941,"meters"
"28407",c(-98.51667, 20.45),2100,"meters"
"28408",c(-108.01389, 28.34389),2228,"meters"
"28409",c(-97.13333, 19.36667),2369,"meters"
"28410",c(-102.41667, 27.06667),2043,"meters"
"28411",c(-96.66972, 19.75278),849,"meters"
"28412",c(-96.94, 19.58722),1450,"meters"
"28413",c(-104.36667, 19.55),1232,"meters"
"28414",c(-103.68333, 27.26667),1747,"meters"
"28415",c(-109.35889, 28.48583),857,"meters"
"28416",c(-109.22861, 29.93361),1001,"meters"
"28417",c(-102.49583, 27.11306),2120,"meters"
"28418",c(-104.275, 19.58333),1751,"meters"
"28419",c(-102.21667, 25.38333),1920,"meters"
"28420",c(-94.12, 16.51),1173,"meters"
"28421",c(-93.07056, 16.81944),1110,"meters"
"28422",c(-98.08333, 23.22083),276,"meters"
"28423",c(-103.55472, 27.4325),1398,"meters"
"28424",c(-103.17222, 21.72889),2376,"meters"
"28425",c(-100.16667, 24.88333),2106,"meters"
"28426",c(-100.45, 25.23694),2749,"meters"
"28427",c(-102.41667, 27.12861),1257,"meters"
"28428",c(-99.10056, 17.59806),1653,"meters"
"28429",c(-100.175, 24.89167),2106,"meters"
"28430",c(-89.835, 18.28333),206,"meters"
"28431",c(-100.28333, 26.63333),719,"meters"
"28432",c(-102.41667, 27.08333),1539,"meters"
"28433",c(-101.6, 26.09167),1743,"meters"
"28434",c(-102.75, 29.175),1827,"meters"
"28435",c(-101.57, 28.73417),982,"meters"
"28436",c(-107.95, 29.14583),2289,"meters"
"28437",c(-102.075, 26.78333),1396,"meters"
"28438",c(-101.25, 26.30833),1496,"meters"
"28439",c(-108.28333, 28.1),1952,"meters"
"28440",c(-103.73472, 27.27056),1834,"meters"
"28441",c(-104.06667, 21.6),1464,"meters"
"28442",c(-100.92028, 25.35472),2269,"meters"
"28443",c(-103.23, 25.11),1980,"meters"
"28444",c(-108.25, 30.08333),2065,"meters"
"28445",c(-100.875, 23.6),2644,"meters"
"28446",c(-100.95694, 25.36389),2125,"meters"
"28447",c(-98.1, 19.21667),2742,"meters"
"28448",c(-103.06, 22.65),2157,"meters"
"28449",c(-105.58333, 30.79167),1652,"meters"
"28450",c(-108.48611, 28.16667),982,"meters"
"28451",c(-97.06667, 19.46667),2361,"meters"
"28452",c(-100.43333, 25.31667),2577,"meters"
"28453",c(-105.15, 28.78333),1628,"meters"
"28454",c(-104.13333, 27.15),1712,"meters"
"28455",c(-103.73333, 19.46667),1387,"meters"
"28456",c(-92.94, 16.9),1414,"meters"
"28457",c(-115.5, 31.03333),2404,"meters"
"28458",c(-102.16667, 28.58333),1153,"meters"
"28459",c(-108.28333, 28.11667),1952,"meters"
"28460",c(-102.59444, 29.00556),2270,"meters"
"28461",c(-102.41667, 27.08333),1539,"meters"
"28462",c(-100.96111, 25.13306),2347,"meters"
"28463",c(-107.63333, 29.81667),2041,"meters"
"28464",c(-103.73333, 19.45),1243,"meters"
"28465",c(-109.71667, 28.56667),841,"meters"
"28466",c(-93.09111, 16.79306),1030,"meters"
"28467",c(-108.64639, 28.36722),1546,"meters"
"28468",c(-102.42778, 27.04722),2043,"meters"
"28469",c(-92.12333, 16.81444),1237,"meters"
"28470",c(-102.41667, 27.06667),2043,"meters"
"28471",c(-109.967003, 23.641391),1052,"meters"
"28472",c(-109.959089, 23.643629),1052,"meters"
"28473",c(-97.21339, 20.772998),16,"meters"
"28474",c(-115.930306, 32.195228),1533,"meters"
"28475",c(-92.588057, 16.672646),2398,"meters"
"28476",c(-105.854012, 23.55235),1767,"meters"
"28477",c(-105.32339, 23.835025),2452,"meters"
"28478",c(-105.424204, 23.687879),2751,"meters"
"28479",c(-105.426478, 23.706899),2751,"meters"
"28480",c(-105.454976, 23.672182),2719,"meters"
"28481",c(-115.939469, 32.099353),1676,"meters"
"28482",c(-106.977114, 28.383691),2166,"meters"
"28483",c(-109.901755, 23.55219),1457,"meters"
"28484",c(-105.848851, 23.573742),1775,"meters"
"28485",c(-105.002882, 23.867217),2546,"meters"
"28486",c(-100.963965, 25.337597),2125,"meters"
"28487",c(-93.453444, 16.873706),919,"meters"
"28488",c(-105.85485, 23.580714),1775,"meters"
"28489",c(-92.587375, 17.02997),761,"meters"
"28490",c(-98.3226, 18.928436),2114,"meters"
"28491",c(-97.963321, 17.609637),1557,"meters"
"28492",c(-115.998251, 31.960268),1495,"meters"
"28493",c(-105.855024, 23.572316),1775,"meters"
"28494",c(-105.679939, 23.726598),2607,"meters"
"28495",c(-110.973444, 31.278099),1319,"meters"
"28496",c(-110.973968, 31.279855),1319,"meters"
"28497",c(-104.736686, 23.103362),1451,"meters"
"28498",c(-101.185211, 21.065103),2505,"meters"
"28499",c(-104.89258, 23.432845),2589,"meters"
"28500",c(-104.577384, 23.075062),1755,"meters"
"28501",c(-104.859812, 23.533598),2620,"meters"
"28502",c(-92.604154, 16.732155),2367,"meters"
"28503",c(-100.270988, 25.549631),1123,"meters"
"28504",c(-116.483444, 32.351533),572,"meters"
"28505",c(-116.419961, 32.392069),841,"meters"
"28506",c(-116.065064, 31.888353),1136,"meters"
"28507",c(-103.401652, 20.961742),1227,"meters"
"28508",c(-116.906325, 32.366438),295,"meters"
"28509",c(-103.564445, 20.836956),1576,"meters"
"28510",c(-115.940375, 32.223788),1642,"meters"
"28511",c(-116.391853, 32.473522),954,"meters"
"28512",c(-115.891792, 31.7665),1492,"meters"
"28513",c(-108.212299, 28.198162),2115,"meters"
"28514",c(-103.853416, 20.798685),1790,"meters"
"28515",c(-92.680669, 16.739235),2401,"meters"
"28516",c(-100.907799, 25.390798),1877,"meters"
"28517",c(-92.680835, 16.739314),2401,"meters"
"28518",c(-103.852483, 20.800062),1790,"meters"
"28519",c(-116.505272, 32.380333),610,"meters"
"28520",c(-116.482644, 32.351761),572,"meters"
"28521",c(-95.709444, 18.020493),58,"meters"
"28522",c(-97.875721, 17.561738),2096,"meters"
"28523",c(-100.417283, 22.643905),1957,"meters"
"28524",c(-115.911125, 31.813775),1620,"meters"
"28525",c(-103.853327, 20.799191),1790,"meters"
"28526",c(-103.403374, 20.962611),1227,"meters"
"28527",c(-92.651884, 16.710719),2311,"meters"
"28528",c(-103.852899, 20.799919),1790,"meters"
"28529",c(-103.853169, 20.799068),1790,"meters"
"28530",c(-101.004654, 28.299329),425,"meters"
"28531",c(-103.033707, 20.359833),1683,"meters"
"28532",c(-92.63108, 16.676687),2275,"meters"
"28533",c(-92.660606, 16.760581),2351,"meters"
"28534",c(-109.339722, 28.466944),952,"meters"
"28535",c(-109.048333, 28.371667),1569,"meters"
"28536",c(-108.643056, 28.391667),1595,"meters"
"28537",c(-108.575, 28.4),1634,"meters"
"28538",c(-108.758333, 28.370833),1335,"meters"
"28539",c(-109.0123492, 28.3619699),1750,"meters"
"28540",c(-109.082778, 28.371944),1254,"meters"
"28541",c(-109.028333, 28.375),1569,"meters"
"28542",c(-109.011667, 28.347778),1750,"meters"
"28543",c(-109.029167, 28.358333),1569,"meters"
"28544",c(-109.027778, 28.369722),1569,"meters"
"28545",c(-109.028333, 28.375),1569,"meters"
"28546",c(-109.028333, 28.375),1569,"meters"
"28547",c(-109.395278, 28.495278),857,"meters"
"28548",c(-109.094444, 28.397222),1146,"meters"
"28549",c(-108.583333, 28.416667),1634,"meters"
"28550",c(-108.575, 28.4),1634,"meters"
"28551",c(-108.522778, 28.435833),1588,"meters"
"28552",c(-109.094444, 28.397222),1146,"meters"
"28553",c(-108.605556, 28.425),1570,"meters"
"28554",c(-109.043889, 28.328056),1790,"meters"
"28555",c(-108.833333, 28.375),1620,"meters"
"28556",c(-108.541667, 28.441667),1588,"meters"
"28557",c(-108.836389, 28.337778),1735,"meters"
"28558",c(-108.643056, 28.391667),1595,"meters"
"28559",c(-109.111111, 28.463889),958,"meters"
"28560",c(-108.836389, 28.337778),1735,"meters"
"28561",c(-109.022222, 28.3375),1790,"meters"
"28562",c(-108.847222, 28.341667),1620,"meters"
"28563",c(-109.029167, 28.358333),1569,"meters"
"28564",c(-108.575, 28.4),1634,"meters"
"28565",c(-109.043889, 28.328056),1790,"meters"
"28566",c(-108.9625, 28.359722),1725,"meters"
"28567",c(-109.029167, 28.358333),1569,"meters"
"28568",c(-109.022222, 28.3375),1790,"meters"
"28569",c(-108.858333, 28.375),1647,"meters"
"28570",c(-109.339722, 28.466944),952,"meters"
"28571",c(-109.028333, 28.345556),1569,"meters"
"28572",c(-108.575, 28.4),1634,"meters"
"28573",c(-108.575, 28.4),1634,"meters"
"28574",c(-109.028333, 28.345556),1569,"meters"
"28575",c(-108.966667, 28.366667),1725,"meters"
"28576",c(-108.925, 28.373611),1614,"meters"
"28577",c(-108.758333, 28.370833),1335,"meters"
"28578",c(-108.575, 28.4),1634,"meters"
"28579",c(-108.575, 28.4),1634,"meters"
"28580",c(-109.128333, 28.395),962,"meters"
"28581",c(-108.833333, 28.376389),1620,"meters"
"28582",c(-108.7875, 28.4),1366,"meters"
"28583",c(-108.605556, 28.425),1570,"meters"
"28584",c(-109.001389, 28.346667),1750,"meters"
"28585",c(-101.106944, 21.540833),2047,"meters"
"28586",c(-109, 27),670,"meters"
"28587",c(-98.6625, 20.151389),2694,"meters"
"28588",c(-98.942222, 20.281944),1990,"meters"
"28589",c(-101.685556, 19.208889),2193,"meters"
"28590",c(-101.106944, 21.540833),2047,"meters"
"28591",c(-101.106944, 21.540833),2047,"meters"
"28592",c(-96.948056, 19.568889),1437,"meters"
"28593",c(-98.2, 20.151389),2250,"meters"
"28594",c(-98.578056, 20.418611),1883,"meters"
"28595",c(-103.783333, 22.166667),1941,"meters"
"28596",c(-111.062778, 31.170278),1356,"meters"
"28597",c(-110.841389, 31.077778),1380,"meters"
"28598",c(-110.4875, 30.967222),1345,"meters"
"28599",c(-111.096111, 31.196944),1296,"meters"
"28600",c(-109.95, 30.933333),2018,"meters"
"28601",c(-93.713055, 16.243333),1242,"meters"
"28602",c(-93.030555, 15.813889),1389,"meters"
"28603",c(-92.824167, 15.657778),1629,"meters"
"28604",c(-93.050805, 15.805917),1548,"meters"
"28605",c(-99.825278, 24.326667),1940,"meters"
"28606",c(-92.657028, 15.597639),1837,"meters"
"28607",c(-93.009667, 16.939425),1141,"meters"
"28608",c(-93.158333, 17.130556),1553,"meters"
"28609",c(-93.597778, 16.329444),928,"meters"
"28610",c(-93.048667, 15.807972),1548,"meters"
"28611",c(-92.740278, 15.575639),1771,"meters"
"28612",c(-93.454444, 15.975278),1117,"meters"
"28613",c(-93.050805, 15.805917),1548,"meters"
"28614",c(-92.098167, 15.095694),1897,"meters"
"28615",c(-92.943611, 15.722778),1532,"meters"
"28616",c(-93.063055, 15.824444),1522,"meters"
"28617",c(-92.134722, 15.102417),1802,"meters"
"28618",c(-92.969083, 15.757583),1279,"meters"
"28619",c(-93.063055, 15.824444),1522,"meters"
"28620",c(-92.140972, 15.099),1802,"meters"
"28621",c(-93.770833, 17.140833),239,"meters"
"28622",c(-93.057944, 16.912997),594,"meters"
"28623",c(-93.158333, 17.130556),1553,"meters"
"28624",c(-94.026583, 16.786611),889,"meters"
"28625",c(-92.65825, 15.46),1539,"meters"
"28626",c(-93.048667, 15.807972),1548,"meters"
"28627",c(-93.09, 15.776944),1500,"meters"
"28628",c(-93.540555, 16.233333),1049,"meters"
"28629",c(-92.152722, 15.114639),1802,"meters"
"28630",c(-93.146389, 16.722778),648,"meters"
"28631",c(-93.005314, 16.929769),1141,"meters"
"28632",c(-93.412778, 16.001111),1171,"meters"
"28633",c(-92.436111, 16.844444),1659,"meters"
"28634",c(-92.677055, 15.58025),1837,"meters"
"28635",c(-91.873417, 16.549417),1774,"meters"
"28636",c(-94.026583, 16.786611),889,"meters"
"28637",c(-93.463889, 16.007778),1351,"meters"
"28638",c(-92.205583, 15.238444),2485,"meters"
"28639",c(-92.567778, 15.152778),-3,"meters"
"28640",c(-93.023611, 15.757222),1532,"meters"
"28641",c(-92.95298, 16.951947),1400,"meters"
"28642",c(-92.140972, 15.099),1802,"meters"
"28643",c(-92.142444, 15.098889),1802,"meters"
"28644",c(-92.261222, 15.239667),1921,"meters"
"28645",c(-93.608333, 16.194444),1262,"meters"
"28646",c(-92.784444, 16.740556),1953,"meters"
"28647",c(-92.281167, 15.248472),1921,"meters"
"28648",c(-93.065, 15.788889),1500,"meters"
"28649",c(-92.657028, 15.597722),1837,"meters"
"28650",c(-93.526111, 16.669444),737,"meters"
"28651",c(-92.625, 15.341667),269,"meters"
"28652",c(-93.480555, 15.988889),1410,"meters"
"28653",c(-92.680528, 15.484139),1914,"meters"
"28654",c(-92.134722, 15.102417),1802,"meters"
"28655",c(-93.084444, 15.861667),1367,"meters"
"28656",c(-92.129722, 16.253611),1658,"meters"
"28657",c(-92.299861, 15.251333),1921,"meters"
"28658",c(-93.394167, 16.042222),1086,"meters"
"28659",c(-93.219167, 15.856944),1265,"meters"
"28660",c(-93.470611, 16.137167),861,"meters"
"28661",c(-92.544167, 16.691111),2413,"meters"
"28662",c(-92.740278, 15.575639),1771,"meters"
"28663",c(-92.09925, 15.084194),1897,"meters"
"28664",c(-93.005314, 16.929769),1141,"meters"
"28665",c(-93.646389, 16.346111),1077,"meters"
"28666",c(-92.13775, 15.141806),2006,"meters"
"28667",c(-92.607722, 15.549083),1841,"meters"
"28668",c(-92.976867, 16.968117),1256,"meters"
"28669",c(-93.597778, 16.329444),928,"meters"
"28670",c(-92.215555, 15.261667),2485,"meters"
"28671",c(-92.014444, 16.334167),1693,"meters"
"28672",c(-93.609444, 16.196389),1262,"meters"
"28673",c(-93.770833, 17.140833),239,"meters"
"28674",c(-92.217278, 15.260139),2224,"meters"
"28675",c(-92.103805, 15.09125),1897,"meters"
"28676",c(-94.026583, 16.786611),889,"meters"
"28677",c(-93.158333, 17.130556),1553,"meters"
"28678",c(-94.058333, 16.641667),1314,"meters"
"28679",c(-92.6445, 15.635861),1522,"meters"
"28680",c(-92.971944, 15.765),1405,"meters"
"28681",c(-92.984167, 15.707222),1408,"meters"
"28682",c(-92.107361, 15.105667),2440,"meters"
"28683",c(-92.718611, 15.684444),1399,"meters"
"28684",c(-92.980555, 15.7),1408,"meters"
"28685",c(-93.049055, 15.812389),1389,"meters"
"28686",c(-93.158333, 17.130556),1553,"meters"
"28687",c(-93.646389, 16.346111),1077,"meters"
"28688",c(-92.140833, 15.145333),2006,"meters"
"28689",c(-93.048028, 17.0255),1076,"meters"
"28690",c(-93.224444, 16.947778),849,"meters"
"28691",c(-93.158333, 17.125),1553,"meters"
"28692",c(-92.640278, 15.433056),1539,"meters"
"28693",c(-92.935555, 15.738056),1279,"meters"
"28694",c(-93.578167, 16.169861),1402,"meters"
"28695",c(-93.303611, 15.948056),993,"meters"
"28696",c(-93.770833, 17.140833),239,"meters"
"28697",c(-94.026583, 16.786611),889,"meters"
"28698",c(-93.471667, 15.983889),1351,"meters"
"28699",c(-93.480555, 15.988889),1410,"meters"
"28700",c(-93.132094, 17.016833),717,"meters"
"28701",c(-93.139722, 15.855),1393,"meters"
"28702",c(-93.035072, 16.952944),921,"meters"
"28703",c(-92.655361, 15.606306),1522,"meters"
"28704",c(-93.288333, 15.984167),875,"meters"
"28705",c(-93.063055, 15.824444),1522,"meters"
"28706",c(-92.971944, 15.765),1405,"meters"
"28707",c(-92.943611, 15.722778),1532,"meters"
"28708",c(-93.017778, 15.801111),1548,"meters"
"28709",c(-93.035, 15.802222),1548,"meters"
"28710",c(-93.230558, 16.965156),849,"meters"
"28711",c(-93.330278, 15.983056),956,"meters"
"28712",c(-93.136, 17.047567),964,"meters"
"28713",c(-93.288333, 15.984167),875,"meters"
