,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
AGR25,Quercus martinezii,Quercus martinezii,AGR25,AGR25.fq.barcodeStripped,QUE001586,1,subg. Quercus,Quercus,Leucomexicana,2324,,Antonio González,AGR25,,Mexico,Jalisco,,,San Luis Soyotlán,,,F,20.195,-103.289,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN07140785,AGR25,AGR25.fq.barcodeStripped.fq.gz,SRR5632536,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_martinezii|Mexico|Jalisco|AGR25|QUE001586
AGR27,Quercus lowilliamsii,Quercus lowilliamsii,AGR27,AGR27.fq.barcodeStripped,QUE001587,0,subg. Quercus,Lobatae,Erythromexicana,115,,Antonio González,AGR27,,Mexico,Chiapas,,,,,,F,,,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN11229651,AGR27,AGR27.fq.barcodeStripped.fq.gz,SRR8860697,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_lowilliamsii|Mexico|Chiapas|AGR27|QUE001587
AGR29,Quercus lowilliamsii,Quercus lowilliamsii,AGR29,AGR29.fq.barcodeStripped,QUE001589,1,subg. Quercus,Lobatae,Erythromexicana,2570,,Antonio González,AGR29,,Mexico,Chiapas,,,Bochil,,,F,16.968056,-92.976944,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN07140786,AGR29,AGR29.fq.barcodeStripped.fq.gz,SRR5632381,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_lowilliamsii|Mexico|Chiapas|AGR29|QUE001589
AGR34,Quercus affinis,Quercus affinis,AGR34,AGR34.fq.barcodeStripped,QUE001594,1,subg. Quercus,Lobatae,Erythromexicana,6117,,Antonio González,AGR34,Convert from dms to dd,Mexico,Queretaro,,,El Batán,,,F,20.3026,-100.188,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN07140789,AGR34,AGR34.fq.barcodeStripped.fq.gz,SRR5632470,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_affinis|Mexico|Queretaro|AGR34|QUE001594
OAKUMN399,Quercus affinis,Quercus affinis,OAKUMN399,OAK-UMN-399,QUE001596,0,subg. Quercus,Lobatae,Erythromexicana,894,,,JCB-MX-??-ZA-519,,Mexico,,,,,,,F,,,UMN,,PRJNA376740,SAMN07141008,OAK-UMN-399,OAK-UMN-399.fq.gz,SRR5632351,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_affinis|Mexico|NA|JCB-MX-??-ZA-519|QUE001596
OAKMOR1140,Quercus petraea ssp. iberica,Quercus petraea ssp. iberica,OAKMOR1140,OAK-MOR-1140,QUE001597,0,subg. Quercus,Quercus,Roburoids,5310,1-10 September 2016,Zhana Ekhvaia,TUS-IB06_JE,,Georgia,Racha-Lechkhum,,,Chrebalo,,,F,,,"TUS-IB06_JE, Tuscia university herbarium, unmounted",,PRJNA376740,SAMN11229670,OAK-MOR-1140,OAK-MOR-1140.fq.gz,SRR8860651,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_petraea_ssp._iberica|Georgia|Racha-Lechkhum|TUS-IB06_JE|QUE001597
OAKMOR1141,Quercus hartwissiana,Quercus hartwissiana,OAKMOR1141,OAK-MOR-1141,QUE001598,0,subg. Quercus,Quercus,Roburoids,6998,1-10 September 2016,Zhana Ekhvaia,TUS-HR03_JE,,Georgia,Ajara,,,Keda,,,F,,,"TUS-HR03_JE, Tuscia university herbarium, unmounted",,PRJNA376740,SAMN11229617,OAK-MOR-1141,OAK-MOR-1141.fq.gz,SRR8860614,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_hartwissiana|Georgia|Ajara|TUS-HR03_JE|QUE001598
OAKMOR1142,Quercus macranthera,Quercus macranthera,OAKMOR1142,OAK-MOR-1142,QUE001599,1,subg. Quercus,Quercus,Roburoids,5419,1-10 September 2016,Zhana Ekhvaia,TUS-MC16_JE,,Georgia,Trialeti,,,Ateni,,,F,,,"TUS-MC16_JE, Tuscia university herbarium, unmounted",,PRJNA376740,SAMN11229653,OAK-MOR-1142,OAK-MOR-1142.fq.gz,SRR8860703,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_macranthera|Georgia|Trialeti|TUS-MC16_JE|QUE001599
OAKMOR1143,Quercus robur ssp. imeretina,Quercus robur ssp. imeretina,OAKMOR1143,OAK-MOR-1143,QUE001600,1,subg. Quercus,Quercus,Roburoids,6072,1-10 September 2016,Zhana Ekhvaia,TUS-IM13_JE,,Georgia,Samegrelo,,,Etseri,,,F,,,"TUS-IM13_JE, Tuscia university herbarium, unmounted",,PRJNA376740,SAMN11229685,OAK-MOR-1143,OAK-MOR-1143.fq.gz,SRR8860589,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_robur_ssp._imeretina|Georgia|Samegrelo|TUS-IM13_JE|QUE001600
OAKMOR1144,Quercus suber,Quercus suber,OAKMOR1144,OAK-MOR-1144,QUE001601,1,subg. Cerris,Cerris,West Eurasian Cerris,10660,October 2016.,Fazia Krouchi,TUS13-010,,Algeria,Medea,,,Berrouaghia,,,F,,,NONE,,PRJNA376740,SAMN11229732,OAK-MOR-1144,OAK-MOR-1144.fq.gz,SRR8860544,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_suber|Algeria|Medea|TUS13-010|QUE001601
