,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
OAKUMN133,Quercus eduardi,Q. eduardii,OAKUMN133,OAK-UMN-133,QUE000471,FALSE,subg. Quercus,Lobatae,Erythromexicana,3161,40709,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez, & Selene&#10;Ramos-Ortiz",JCB-MX-JA-AT-202,,Mexico,Jalisco,,,Atotonilco,,,F,20.66090123,-102.47340473,The Morton Arboretum (MOR),175904,PRJNA376740,SAMN07140958,OAK-UMN-133,OAK-UMN-133.fq.gz,SRR5632386,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_eduardi|Mexico|Jalisco|JCB-MX-JA-AT-202|QUE000471
OAKUMN136,Quercus obtusata,Q. obtusata,OAKUMN136,OAK-UMN-136,QUE000474,TRUE,subg. Quercus,Quercus,Leucomexicana,4561,40709,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez, & Selene&#10;Ramos-Ortiz",JCB-MX-JA-MS-204,,Mexico,Jalisco,,,Montana Santa Fe,,,F,20.49204569,-103.03587486,The Morton Arboretum (MOR),175899,PRJNA376740,SAMN07140959,OAK-UMN-136,OAK-UMN-136.fq.gz,SRR5632346,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_obtusata|Mexico|Jalisco|JCB-MX-JA-MS-204|QUE000474
OAKUMN140,Quercus resinosa,Q. resinosa,OAKUMN140,OAK-UMN-140,QUE000478,FALSE,subg. Quercus,Quercus,Leucomexicana,5324,40709,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez, & Selene&#10;Ramos-Ortiz",JCB-MX-JA-MS-208,,Mexico,Jalisco,,,Montana Santa Fe,,,F,20.49524238,-103.03409505,The Morton Arboretum (MOR),175916,PRJNA376740,SAMN07140960,OAK-UMN-140,OAK-UMN-140.fq.gz,SRR5632455,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_resinosa|Mexico|Jalisco|JCB-MX-JA-MS-208|QUE000478
OAKUMN146,Quercus deserticola,Q. deserticola,OAKUMN146,OAK-UMN-146,QUE000484,FALSE,subg. Quercus,Quercus,Leucomexicana,5901,40709,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez, & Selene&#10;Ramos-Ortiz",JCB-MX-JA-MS-214,,Mexico,Jalisco,,,Montana Santa Fe,,,F,20.4992113,-103.03086416,The Morton Arboretum (MOR),175915,PRJNA376740,SAMN07140961,OAK-UMN-146,OAK-UMN-146.fq.gz,SRR5632447,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_deserticola|Mexico|Jalisco|JCB-MX-JA-MS-214|QUE000484
JCBMXJATS215,Quercus obtusata,Q. obtusata,JCBMXJATS215,JCB-MX-JA-TS-215.fq.barcodeStripped,QUE000485,FALSE,subg. Quercus,Quercus,Leucomexicana,2992,40709,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez, & Selene&#10;Ramos-Ortiz",JCB-MX-JA-MS-215,,Mexico,Jalisco,,,Montana Santa Fe,,,F,20.4992113,-103.03086416,UMN,,PRJNA376740,SAMN07140801,JCB-MX-JA-TS-215,JCB-MX-JA-TS-215.fq.barcodeStripped.fq.gz,SRR5632402,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_obtusata|Mexico|Jalisco|JCB-MX-JA-MS-215|QUE000485
OAKUMN346,Quercus elliptica,Q. elliptica,OAKUMN346,OAK-UMN-346,QUE000491,FALSE,subg. Quercus,Lobatae,Erythromexicana,5707,40981,Jeannine Cavender-Bares,JCB-HN-TA-3,UTM converter,Honduras,,,,Las Tablas,,,F,14.01246365,-87.0347178,The Morton Arboretum (MOR),176579,PRJNA376740,SAMN07140995,OAK-UMN-346,OAK-UMN-346.fq.gz,SRR5632485,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_elliptica|Honduras|NA|JCB-HN-TA-3|QUE000491
OAKUMN352,Quercus eugeniifolia,Q. eugeniifolia,OAKUMN352,OAK-UMN-352,QUE000496,FALSE,subg. Quercus,Lobatae,Erythromexicana,1970,40983,Jeannine Cavender-Bares,JCB-HN-UY-8,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02512347,-87.07124529,The Morton Arboretum (MOR),176581,PRJNA376740,SAMN07140996,OAK-UMN-352,OAK-UMN-352.fq.gz,SRR5632419,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hauser et al. 2017. AJB (Agrifoliae); Hipp et al., 2019 (Oaks of the World)",Quercus_eugeniifolia|Honduras|NA|JCB-HN-UY-8|QUE000496
OAKUMN356,Quercus cortesii,Q. cortesii,OAKUMN356,OAK-UMN-356,QUE000500,FALSE,subg. Quercus,Lobatae,Erythromexicana,1764,40983,Jeannine Cavender-Bares,JCB-HN-UY-11,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02504205,-87.07138419,The Morton Arboretum (MOR),176584,PRJNA376740,SAMN07140997,OAK-UMN-356,OAK-UMN-356.fq.gz,SRR5632500,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_cortesii|Honduras|NA|JCB-HN-UY-11|QUE000500
OAKUMN357,Quercus lancifolia,Q. lancifolia,OAKUMN357,OAK-UMN-357,QUE000501,FALSE,subg. Quercus,Quercus,Leucomexicana,1852,40983,Jeannine Cavender-Bares,JCB-HN-UY-12,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02494259,-87.07137489,The Morton Arboretum (MOR),176585,PRJNA376740,SAMN07140998,OAK-UMN-357,OAK-UMN-357.fq.gz,SRR5632479,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_lancifolia|Honduras|NA|JCB-HN-UY-12|QUE000501
OAKUMN358,Quercus insignis,Q. insignis,OAKUMN358,OAK-UMN-358,QUE000502,FALSE,subg. Quercus,Quercus,Leucomexicana,1353,40983,Jeannine Cavender-Bares,JCB-HN-UY-13,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02483411,-87.07131929,The Morton Arboretum (MOR),176586,PRJNA376740,SAMN07140999,OAK-UMN-358,OAK-UMN-358.fq.gz,SRR5632388,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_insignis|Honduras|NA|JCB-HN-UY-13|QUE000502
OAKUMN374,Quercus cortesii,Q. cortesii,OAKUMN374,OAK-UMN-374,QUE000519,TRUE,subg. Quercus,Lobatae,Erythromexicana,4011,40983,Jeannine Cavender-Bares,JCB-HN-UY-30,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02737491,-87.07130156,The Morton Arboretum (MOR),176593,PRJNA376740,SAMN07141000,OAK-UMN-374,OAK-UMN-374.fq.gz,SRR5632478,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_cortesii|Honduras|NA|JCB-HN-UY-30|QUE000519
OAKUMN378,Quercus lancifolia,Q. lancifolia,OAKUMN378,OAK-UMN-378,QUE000523,TRUE,subg. Quercus,Quercus,Leucomexicana,1957,40983,Jeannine Cavender-Bares,JCB-HN-UY-34,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02804403,-87.07123693,The Morton Arboretum (MOR),176571,PRJNA376740,SAMN07141001,OAK-UMN-378,OAK-UMN-378.fq.gz,SRR5632348,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks);Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_lancifolia|Honduras|NA|JCB-HN-UY-34|QUE000523
OAKUMN381,Quercus eugeniifolia,Q. eugeniifolia,OAKUMN381,OAK-UMN-381,QUE000526,TRUE,subg. Quercus,Lobatae,Erythromexicana,4496,40983,Jeannine Cavender-Bares,JCB-HN-UY-37,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.02826089,-87.07173711,The Morton Arboretum (MOR),176568,PRJNA376740,SAMN07141002,OAK-UMN-381,OAK-UMN-381.fq.gz,SRR5632390,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_eugeniifolia|Honduras|NA|JCB-HN-UY-37|QUE000526
OAKUMN385,Quercus sapotifolia,Q. sapotifolia,OAKUMN385,OAK-UMN-385,QUE000530,FALSE,subg. Quercus,Lobatae,Erythromexicana,1766,40983,Jeannine Cavender-Bares,JCB-HN-UY-41,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.03337799,-87.07390586,The Morton Arboretum (MOR),176615,PRJNA376740,SAMN07141004,OAK-UMN-385,OAK-UMN-385.fq.gz,SRR5632389,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_sapotifolia|Honduras|NA|JCB-HN-UY-41|QUE000530
OAKUMN391,Quercus segoviensis,Q. segoviensis,OAKUMN391,OAK-UMN-391,QUE000536,TRUE,subg. Quercus,Quercus,Leucomexicana,1368,40983,Jeannine Cavender-Bares,JCB-HN-UY-47,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.03838699,-87.07470396,The Morton Arboretum (MOR),176610,PRJNA376740,SAMN07141005,OAK-UMN-391,OAK-UMN-391.fq.gz,SRR5632448,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_segoviensis|Honduras|NA|JCB-HN-UY-47|QUE000536
OAKUMN395,Quercus sapotifolia,Q. sapotifolia,OAKUMN395,OAK-UMN-395,QUE000540,TRUE,subg. Quercus,Lobatae,Erythromexicana,2690,40983,Jeannine Cavender-Bares,JCB-HN-UY-51,UTM converter,Honduras,,,,Uyuca Mountain - Biological reserve,,,F,14.01917778,-87.05631503,The Morton Arboretum (MOR),176603,PRJNA376740,SAMN07141006,OAK-UMN-395,OAK-UMN-395.fq.gz,SRR5632429,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_sapotifolia|Honduras|NA|JCB-HN-UY-51|QUE000540
AGR1,Quercus corrugata,Q. corrugata,AGR1,AGR1.fq.barcodeStripped,QUE000542,TRUE,subg. Quercus,Quercus,Leucomexicana,3865,,Hernando Rodríguez/Antonio Gonzalez,AGR1,,Mexico,Chiapas,,,El triunfo,,,F,15.6227,-92.7376,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140779,AGR1,AGR1.fq.barcodeStripped.fq.gz,SRR5632424,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_corrugata|Mexico|Chiapas|AGR1|QUE000542
AGR2,Quercus corrugata,Q. corrugata,AGR2,AGR2.fq.barcodeStripped,QUE000543,FALSE,subg. Quercus,Quercus,Leucomexicana,3343,,Hernando Rodríguez/Antonio Gonzalez,AGR2,,Mexico,Chiapas,,,El triunfo,,,F,15.6227,-92.7376,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140783,AGR2,AGR2.fq.barcodeStripped.fq.gz,SRR5632399,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_corrugata|Mexico|Chiapas|AGR2|QUE000543
AGR3,Quercus germana,Q. germanii,AGR3,AGR-3.fq.barcodeStripped,QUE000544,FALSE,subg. Quercus,Quercus,Leucomexicana,3611,,Hernando Rodríguez/Antonio Gonzalez,AGR3,,Mexico,Veracruz,,,INECOL,,,F,19.4869,-96.9385,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140787,AGR-3,AGR-3.fq.barcodeStripped.fq.gz,SRR5632396,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_germana|Mexico|Veracruz|AGR3|QUE000544
AGR4,Quercus germana,Q. germanii,AGR4,AGR-4.fq.barcodeStripped,QUE000545,FALSE,subg. Quercus,Quercus,Leucomexicana,3645,,Hernando Rodríguez/Antonio Gonzalez,AGR4,,Mexico,Veracruz,,,INECOL,,,F,19.4869,-96.9385,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140790,AGR-4,AGR-4.fq.barcodeStripped.fq.gz,SRR5632354,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_germana|Mexico|Veracruz|AGR4|QUE000545
AGR5,Quercus pinnativenulosa,Q. pinnativenulosa,AGR5,AGR-5.fq.barcodeStripped,QUE000546,TRUE,subg. Quercus,Lobatae,Erythromexicana,4899,,Hernando Rodríguez/Antonio Gonzalez,AGR5,,Mexico,Veracruz,,,Banderilla,,,F,19.5901,-96.9434,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140791,AGR-5,AGR-5.fq.barcodeStripped.fq.gz,SRR5632465,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_pinnativenulosa|Mexico|Veracruz|AGR5|QUE000546
AGR6,Quercus pinnativenulosa,Q. pinnativenulosa,AGR6,AGR6.fq.barcodeStripped,QUE000547,FALSE,subg. Quercus,Lobatae,Erythromexicana,3026,,Hernando Rodríguez/Antonio Gonzalez,AGR6,,Mexico,Veracruz,,,Banderilla,,,F,19.5901,-96.9434,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140792,AGR6,AGR6.fq.barcodeStripped.fq.gz,SRR5632471,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_pinnativenulosa|Mexico|Veracruz|AGR6|QUE000547
AGR7,Quercus sartorii,Q. sartorii,AGR7,AGR7.fq.barcodeStripped,QUE000548,FALSE,subg. Quercus,Lobatae,Erythromexicana,2177,,Hernando Rodríguez/Antonio Gonzalez,AGR7,,Mexico,Hidalgo,,,Coatatlán,,,F,21.01654,-98.6772,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN11229709,AGR7,AGR7.fq.barcodeStripped.fq.gz,SRR8860616,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_sartorii|Mexico|Hidalgo|AGR7|QUE000548
AGR8,Quercus sartorii,Q. sartorii,AGR8,AGR-8.fq.barcodeStripped,QUE000549,TRUE,subg. Quercus,Lobatae,Erythromexicana,3862,,Hernando Rodríguez/Antonio Gonzalez,AGR8,,Mexico,Hidalgo,,,Coatatlán,,,F,21.01654,-98.6772,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN11229710,AGR-8,AGR-8.fq.barcodeStripped.fq.gz,SRR8860615,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_sartorii|Mexico|Hidalgo|AGR8|QUE000549
AGR11,Quercus delgadoana,Q. delgadoana,AGR11,AGR11.fq.barcodeStripped,QUE000552,TRUE,subg. Quercus,Lobatae,Erythromexicana,1629,,Hernando Rodríguez/Antonio Gonzalez,AGR11,,Mexico,Hidalgo,,,Tenango,,,F,20.3235,-98.22161,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM, unmounted",,PRJNA376740,SAMN07140780,AGR11,AGR11.fq.barcodeStripped.fq.gz,SRR5632397,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_delgadoana|Mexico|Hidalgo|AGR11|QUE000552
OAKMOR169,Quercus shumardii,Quercus shumardii,OAKMOR169,OAK-MOR-169.fq.barcodeStripped,QUE000571,TRUE,subg. Quercus,Lobatae,Rubrae,5084,41072,"Andrew Hipp, Nick Stoynoff, Adam Zindel, & Alana McKean",IL-SH-111,"Google earth to Canadian Co, OK",USA,OK,Candian,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: OC; Lot#: 3",1999-042,"I40 Mile 107; OK, Canadian Co., USA",F,35.554825,-97.978526,The Morton Arboretum (MOR),175235,PRJNA376740,SAMN07140808,OAK-MOR-169,OAK-MOR-169.fq.barcodeStripped.fq.gz,SRR5632373,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_shumardii|USA|OK|IL-SH-111|QUE000571
OAKMOR490,Quercus texana,"Quercus nuttallii 'New Madrid""|Quercus texana 'New Madrid'",OAKMOR490,OAK-MOR-490,QUE000572,FALSE,subg. Quercus,Lobatae,Palustres,6293,41072,"Andrew Hipp, Nick Stoynoff, Adam Zindel, Alana McKean",IL-SH-112,"Google Earth of New Madrid, MO, along I55",USA,MO,,New Madrid,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: B; Lot#: 1",2007-038,"Collected by Guy Sternberg, north bound I55 rest area mile 42 in New Madrid, MO. ",F,36.537856,-89.594182,The Morton Arboretum (MOR),175242,PRJNA376740,SAMN07140865,OAK-MOR-490,OAK-MOR-490.fq.gz,SRR5632362,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hauser et al. 2017. AJB (Agrifoliae); Hipp et al., 2019 (Oaks of the World)",Quercus_texana|USA|MO|IL-SH-112|QUE000572
OAKMOR167,Quercus velutina,Quercus velutina,OAKMOR167,OAK-MOR-167.fq.barcodeStripped,QUE000573,FALSE,subg. Quercus,Lobatae,Rubrae,5475,41072,"Andrew Hipp, Nick Stoynoff, Adam Zindel, Alana McKean",IL-SH-113,GPS,USA,IL,Mendard,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: BB; Lot#: 1",1900-072,"SHF spont.; Petersburg, IL",F,39.93496,-89.80161,The Morton Arboretum (MOR),175236,PRJNA376740,SAMN07140807,OAK-MOR-167,OAK-MOR-167.fq.barcodeStripped.fq.gz,SRR5632520,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_velutina|USA|IL|IL-SH-113|QUE000573
OAKMOR575,Quercus montana,Quercus montana,OAKMOR575,OAK-MOR-575.fq.barcodeStripped,QUE000576,TRUE,subg. Quercus,Quercus,Albae,4930,41072,Bethany Hayward Brown & Marcial Escudero & Alana McKean,IL-SH-116,"Google earth to Chimney Rock Park, NC.",USA,NC,,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: OOOA; Lot#: 4",2010-108,"Chimney Rock Park; NC,  USA",F,35.429102,-82.251822,The Morton Arboretum (MOR),175353,PRJNA376740,SAMN06446175,OAK-MOR-575,OAK-MOR-575.fq.barcodeStripped.fq.gz,SRR5284342,"Pham et al., 2017. Genome (plastome)","Pham et al., 2017. Genome (plastome); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_montana|USA|NC|IL-SH-116|QUE000576
OAKMOR533,Quercus pyrenaica,Quercus pyrenaica,OAKMOR533,OAK-MOR-533,QUE000579,TRUE,subg. Quercus,Quercus,Roburoids,4977,41072,Bethany Hayward Brown & Marcial Escudero & Alana McKean,IL-SH-119,DM conversion to DD based upon provinence info,Spain,,,Miraflores De La Sierra,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: OOOB; Lot#: 5",2010-112,Collected by Charles Tubesing in Miraflores De La Sierra; Spain; 1100m; N40d49' W3d46',F,40.81666,-3.7666,The Morton Arboretum (MOR),175258,PRJNA376740,SAMN07140880,OAK-MOR-533,OAK-MOR-533.fq.gz,SRR5632599,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_pyrenaica|Spain|NA|IL-SH-119|QUE000579
OAKMOR260,Quercus muehlenbergii,Quercus muehlenbergii,OAKMOR260,OAK-MOR-260,QUE000587,FALSE,subg. Quercus,Quercus,Prinoids,4608,41072,"Bethany Hayward Brown, Marcial Escudero",IL-SH-153,spont. Keep gps coordinates.,USA,IL,Menard,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: AA; Lot#: 3",1988-013,"SHF spont.; Petersburg, IL, USA",F,39.93521154,-89.80233285,The Morton Arboretum (MOR),175261,PRJNA376740,SAMN07140820,OAK-MOR-260,OAK-MOR-260_R1.fq.gz,SRR5632461,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_muehlenbergii|USA|IL|IL-SH-153|QUE000587
OAKMOR700,Quercus michauxii,Quercus michauxii,OAKMOR700,OAK-MOR-700.fq.barcodeStripped,QUE000588,FALSE,subg. Quercus,Quercus,Albae,4703,41072,"Bethany Hayward Brown, Marcial Escudero",IL-SH-154,"Google Earth to Horseshoe Lake near Olive Branch, IL",USA,IL,,Olive Branch,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: AA; Lot#: 1",1981-028,"Horeshoe Lake; Olive Branch, IL ,USA",F,37.15382,-89.34699,The Morton Arboretum (MOR),175231,PRJNA376740,SAMN06446168,OAK-MOR-700,OAK-MOR-700.fq.barcodeStripped.fq.gz,SRR5284349,"Pham et al., 2017. Genome (plastome)","Pham et al., 2017. Genome (plastome); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_michauxii|USA|IL|IL-SH-154|QUE000588
OAKMOR461,Quercus phellos,Quercus phellos,OAKMOR461,OAK-MOR-461.fq.barcodeStripped,QUE000590,TRUE,subg. Quercus,Lobatae,Laurifoliae,6085,41072,"Bethany Hayward Brown, Marcial Escudero",IL-SH-156,GEOLocate Web App.,USA,IL,Massac,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: AA; Lot#: 2",1991-021,"Fort Massac SP; Massac Co., Metropolis, IL, USA",F,37.14389,-88.68722,The Morton Arboretum (MOR),175320,PRJNA376740,SAMN07140856,OAK-MOR-461,OAK-MOR-461.fq.barcodeStripped.fq.gz,SRR5632502,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_phellos|USA|IL|IL-SH-156|QUE000590
OAKMOR256,Quercus nigra,Quercus nigra,OAKMOR256,OAK-MOR-256.fq.barcodeStripped,QUE000591,FALSE,subg. Quercus,Lobatae,Laurifoliae,4819,41072,"Bethany Hayward Brown, Marcial Escudero",IL-SH-157,"Elephant Valley Enterprises has address of 633 Heindl R. Canton, MS 39046--- going with this as the ",USA,MS,,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: AA; Lot#: 3",1994-062,"Elephant Valley Farm; Canton, MS, USA [listed as wild collected in SHF database]",F,32.640488,-90.092475,The Morton Arboretum (MOR),175230,PRJNA376740,SAMN07140819,OAK-MOR-256,OAK-MOR-256.fq.barcodeStripped.fq.gz,SRR5632375,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_nigra|USA|MS|IL-SH-157|QUE000591
OAKMOR441A,Quercus buckleyi,Quercus buckleyi,OAKMOR441A,OAK-MOR-441A,QUE000592,TRUE,subg. Quercus,Lobatae,Rubrae,7348,41072,"Bethany Hayward Brown, Marcial Escudero",IL-SH-158,"google maps to San Antonio, Texas",USA,TX,,,"Starhill Forest Arboretum, Petersburg, IL, USA; North 39 deg 56.1' / West 89 deg 48.1' (website); Compartment #: A; Lot#:  ",1994-021," San Antonio,  TX, USA; Source: San Antonio Botanic Gard.; [listed as wild collected in SHF arb database.]",?,29.439287,-98.514446,The Morton Arboretum (MOR),175398,PRJNA376740,SAMN07140853,OAK-MOR-441A,OAK-MOR-441A.fq.gz,SRR5632425,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_buckleyi|USA|TX|IL-SH-158|QUE000592
